ic_id,ic_second_id,ngc_id,messier_id,object_name,object_type_abrev,object_type,ra_hour,ra_minute,dec_sign,dec_deg,dec_minute,constellation,major_axis,minor_axis,position_angle,b_mag,v_mag,j_mag,h_mag,k_mag,surface_brightness,ned_notes
IC726,,,,,G,Galaxy,11,43.75,+,33,23.51666667,Ursa Major,0.87,0.77,103,15.91,,12.9,12.2,11.76,24.48,
IC1032,,,,,G,Galaxy,14,34.65,+,47,58.07833333,Boötes,0.65,0.56,93,15.6,,12.27,11.58,11.26,23.38,
,,NGC1698,,,GCl,Globular Cluster,4,49.08333333,+,69,6.9,Dorado,1.5,1.4,70,12.24,12.07,,,,,In the Large Magellanic Cloud.
IC731,,,,,G,Galaxy,11,45.3,+,49,34.225,Ursa Major,0.7,0.36,83,15.6,,13.92,13.43,12.94,23.67,
IC1034,,,,,G,Galaxy,14,37.23333333,+,14,39.90833333,Boötes,0.59,0.47,5,15.6,,12.5,11.97,11.61,23.04,
,,NGC1699,,,G,Galaxy,4,57,+,4,45.41666667,Eridanus,1.03,0.74,166,15,,11.49,10.95,10.63,,
IC736,,,,,G,Galaxy,11,48.33333333,+,12,42.995,Leo,0.66,0.63,82,15.3,,12.67,12,11.77,23.53,
IC1039,,,,,G,Galaxy,14,40.48333333,+,3,25.965,Virgo,0.68,0.34,41,15.6,,12.29,11.51,11.46,23.6,
,,NGC1700,,,G,Galaxy,4,56.93333333,+,4,51.95,Eridanus,3.11,1.98,87,12,,9.02,8.33,8.09,23.34,
IC740,,,,,Dup,Galaxy,11,50.65,+,55,21.23166667,Ursa Major,,,,,,,,,,
IC1041,,,,,G,Galaxy,14,40.63333333,+,3,22.62166667,Virgo,0.87,0.63,52,15.1,,11.29,10.58,10.26,23.09,
,,NGC1701,,,G,Galaxy,4,55.85,+,29,53,Caelum,1.24,0.94,136,13.63,,10.83,10.14,9.89,22.65,
IC742,,,,,G,Galaxy,11,51.03333333,+,20,47.98333333,Leo,1.07,0.86,121,15.1,,11.65,10.97,11.2,23.53,
IC1046,,,,,G,Galaxy,14,37.88333333,+,69,0.8683333333,Ursa Minor,0.78,0.45,86,14.7,,12.27,11.59,11.26,22.59,
,,NGC1706,,,G,Galaxy,4,52.51666667,+,62,59.15,Dorado,1.43,0.97,129,13.97,,10.9,10.29,10.03,22.84,
IC744,,,,,G,Galaxy,11,54.08333333,+,23,11.53333333,Leo,0.63,0.38,52,15.7,,12.68,12.04,11.75,23.24,
IC1047,,,,,G,Galaxy,14,42.33333333,+,19,11.51,Boötes,0.72,0.61,9,15.7,,12.68,11.89,11.59,23.39,
,IC2107,NGC1707,,,Other,,4,58.35,+,8,14.30166667,Orion,,,,,,,,,,Four Galactic stars.
IC747,,,,,G,Galaxy,11,57.08333333,+,8,17.53333333,Virgo,0.65,0.3,40,15.34,,11.63,10.92,10.68,23.23,
IC1057,IC1056,,,,Dup,Galaxy,14,45.81666667,+,50,23.64333333,Boötes,,,,,,,,,,
,,NGC1708,,,OCl,Open Cluster,5,3.366666667,+,52,49.925,Camelopardalis,6,,,,,,,,,
IC751,,,,,G,Galaxy,11,58.88333333,+,42,34.22,Ursa Major,1.1,0.41,30,15.39,14.39,11.72,10.97,10.63,23.25,
IC1061,,,,,G,Galaxy,14,51.23333333,+,18,45.45333333,Boötes,0.49,0.39,146,16.2,,12.75,12.03,11.79,23.32,"Mislabeled as A1983 D in Colless, et al. (1993,MNRAS,262,475)."
,IC2108,NGC1710,,,G,Galaxy,4,57.28333333,+,15,17.33333333,Lepus,1.61,1.26,19,14,,10.25,9.54,9.21,24,
IC752,,,,,G,Galaxy,11,59.25,+,42,34.01,Ursa Major,0.58,0.43,91,15.2,,13.28,12.57,12.41,22.8,
IC1062,,,,,G,Galaxy,14,51.3,+,18,41.21833333,Boötes,0.94,0.78,114,15.3,,11.78,11.2,10.76,23.86,"Mislabeled as A1983 E in Colless, et al. (1993,MNRAS,262,475)."
,,NGC1714,,,Cl+N,Star cluster + Nebula,4,52.15,+,66,55.4,Dorado,1.1,1.1,,11.51,11.61,,,,,Open cluster involved.  In LMC.
IC757,,,,,Dup,Galaxy,12,4.016666667,+,52,35.29666667,Ursa Major,,,,,,,,,,
IC1063,,,,,G,Galaxy,14,52.18333333,+,4,40.92333333,Virgo,0.74,0.57,145,14.2,,11.91,11.12,10.83,22.83,
,,NGC1715,,,EmN,Emission Nebula,4,52.16666667,+,66,54.51666667,Dorado,1.1,1,130,,,,,,,In the Large Magellanic Cloud.
IC761,,,,,G,Galaxy,12,5.9,+,12,40.4,Corvus,1,0.38,108,15.44,,11.97,11.27,11.03,23.52,
IC1064,,,,,NonEx,Nonexistent object,,,,,,#N/A,,,,,,,,,,
,,NGC1717,,,*,Star,4,59.31666667,+,0,13.73333333,Orion,,,,,,,,,,Identification as NGC 1717 is very uncertain.
IC765,,,,,Other,,12,10.51666667,+,16,8.111666667,Coma Berenices,,,,,,,,,,Nothing here; nominal position.
IC1065,,,,,G,Galaxy,14,49.36666667,+,63,16.23333333,Draco,0.88,0.7,95,17.3,16.39,11.7,11.05,10.64,22.96,
,,NGC1718,,,OCl,Open Cluster,4,52.41666667,+,67,3.033333333,Dorado,1.8,1.8,,13.01,12.25,,,,,In the Large Magellanic Cloud.
IC770,,,,,G,Galaxy,12,13.03333333,+,4,33.2,Virgo,0.46,0.43,40,16.05,,14,13.32,13.14,23.09,
IC1068,,,,,G,Galaxy,14,53.55,+,3,4.638333333,Virgo,0.92,0.69,138,14.9,,11.35,10.63,10.31,23.41,
,,NGC1721,,,G,Galaxy,4,59.28333333,+,11,7.116666667,Eridanus,1.58,0.83,130,13,,10.21,9.54,9.29,23.52,
IC782,,,,,G,Galaxy,12,21.61666667,+,5,45.945,Virgo,1.14,0.64,61,15.1,,11.24,10.76,10.79,23.13,
IC1071,,,,,G,Galaxy,14,54.21666667,+,4,45.00166667,Virgo,1.09,0.69,153,14.22,,10.72,10.01,9.7,23.45,
,,NGC1723,,,G,Galaxy,4,59.43333333,+,10,58.85,Eridanus,3.03,1.88,68,12.5,,9.98,9.24,8.97,,
IC787,,,,,G,Galaxy,12,25.41666667,+,16,7.451666667,Coma Berenices,1.06,0.44,180,15.2,,11.51,10.92,10.56,23.42,
IC1072,,,,,G,Galaxy,14,54.21666667,+,4,50.49333333,Virgo,0.87,0.53,152,15.1,,11.82,11.17,10.89,23.82,
,,NGC1725,,,G,Galaxy,4,59.38333333,+,11,7.933333333,Eridanus,1.39,1.3,15,13,,10.35,9.66,9.39,23.29,
IC788,,,,,Dup,Galaxy,12,26.11666667,+,16,10.86,Coma Berenices,,,,,,,,,,
IC1074,,,,,G,Galaxy,14,51.95,+,51,15.89333333,Boötes,0.92,0.33,116,15.2,,11.94,11.28,10.96,22.82,
,,NGC1727,,,Cl+N,Star cluster + Nebula,4,52.21666667,+,69,20.33333333,Dorado,2.8,2,90,,,,,,,Nebulosity involved.
IC796,,,,,G,Galaxy,12,29.43333333,+,16,24.28666667,Coma Berenices,1.46,0.46,145,14.07,,11.25,10.61,10.34,23.15,ASIAGO3 273 is the bar of IC 0796.
IC1077,,,,,G,Galaxy,14,57.36666667,+,19,12.81666667,Libra,1.31,1.08,61,13.46,,10.59,9.89,9.56,22.63,
,,NGC1731,,,*Ass,Association of stars,4,53.53333333,+,66,55.51666667,Dorado,4.8,4.5,90,,,,,,,In the Large Magellanic Cloud.
IC802,,,,,*,Star,12,35.96666667,+,74,18.08,Draco,,,,,,,,,,
IC1080,,,,,G,Galaxy,14,58,+,6,43.4,Libra,1.22,0.92,33,14.5,,10.85,10.16,9.75,24,
,,NGC1732,,,OCl,Open Cluster,4,53.18333333,+,68,39,Dorado,1.1,1,50,12.44,12.3,,,,,In the Large Magellanic Cloud.
IC803,,,,,GGroup,,12,39.61666667,+,16,35.28166667,Coma Berenices,1.2,,,,,,,,,
IC1083,,,,,G,Galaxy,14,55.55,+,68,24.515,Ursa Minor,0.72,0.57,94,15.2,,12.11,11.45,11.16,22.97,
,,NGC1733,,,OCl,Open Cluster,4,54.08333333,+,66,40.95,Dorado,1.5,1.4,20,13.66,13.31,,,,,In the Large Magellanic Cloud.
IC803 NED01,,,,,G,Galaxy,12,39.6,+,16,35.27,Coma Berenices,1,0.32,75,16.35,,,,,24.37,
IC1084,,,,,G,Galaxy,15,1.25,+,7,28.5,Libra,0.87,0.6,156,14.5,,12.19,11.36,11.53,23.48,The position in 1992PASP..104...57V is not for the nucleus.
,,NGC1736,,,EmN,Emission Nebula,4,53.03333333,+,68,3.183333333,Dorado,1.9,1.4,170,15.5,,13.01,13.11,12.24,,In the Large Magellanic Cloud.
IC804,,,,,G,Galaxy,12,41.26666667,+,5,0.55,Virgo,1.03,0.49,64,14.96,,11.25,10.46,10.35,23.46,
IC1085,,,,,G,Galaxy,15,2.716666667,+,17,15.15166667,Boötes,0.94,0.84,24,15,,11.63,10.95,10.59,23.6,
,,NGC1740,,,G,Galaxy,5,1.916666667,+,3,17.78333333,Orion,1.79,1.1,68,15,,10.58,9.9,9.68,23.87,
IC805,,,,,Dup,Galaxy,12,41.41666667,+,13,43.77166667,Coma Berenices,,,,,,,,,,
IC1086,,,,,G,Galaxy,15,3.483333333,+,17,6.865,Boötes,0.69,0.47,165,15.4,,12.13,11.45,11.28,23.16,
,,NGC1743,,,Neb,Nebula,4,54.05,+,69,11.91666667,Dorado,0.95,0.85,130,,11.26,,,,,In the Large Magellanic Cloud.
IC806,,,,,G,Galaxy,12,42.13333333,+,17,20.96666667,Corvus,0.94,0.61,107,15.47,,11.84,11.22,10.93,23.64,
IC1089,,,,,G,Galaxy,15,7.433333333,+,7,7.005,Virgo,0.97,0.64,140,15.4,,11.74,11.03,10.72,23.96,
,,NGC1744,,,G,Galaxy,4,59.96666667,+,26,1.333333333,Lepus,5.28,1.99,169,11.9,11.41,10.52,9.98,9.78,23.23,Extended HIPASS source
IC808,,,,,Other,,12,41.91666667,+,19,55.92666667,Coma Berenices,,,,,,,,,,Two Galactic stars.
IC1091,,,,,G,Galaxy,15,8.233333333,+,11,8.45,Libra,1.09,0.82,132,14.34,,11.27,10.57,10.24,22.96,
,,NGC1747,,,OCl,Open Cluster,4,55.18333333,+,67,10.13333333,Dorado,4.4,4.4,,9.41,9.37,,,,,In the Large Magellanic Cloud.
IC810,,,,,G,Galaxy,12,42.15,+,12,35.80833333,Virgo,1.62,0.58,167,14.7,,11.72,11.16,11.13,23.96,
IC1092,,,,,G,Galaxy,15,7.6,+,9,21.49333333,Boötes,1.01,1,72,15.1,,11.94,11.29,11.09,23.74,
,,NGC1753,,,G,Galaxy,5,2.533333333,+,3,20.66666667,Orion,1.32,0.42,180,15.5,,11.87,11.15,10.96,23.57,
IC812,,,,,G,Galaxy,12,44.85,+,4,26.08333333,Virgo,0.9,0.56,118,14.85,,12.23,11.65,11.49,,
IC1093,,,,,G,Galaxy,15,7.6,+,14,32.88,Boötes,1,0.74,90,14.9,,12.5,11.9,11.62,23.5,
,,NGC1757,,,Other,,5,2.65,+,4,43.38333333,Eridanus,,,,,,,,,,Nothing at this position.
IC819,,,,,Dup,Galaxy,12,46.16666667,+,30,43.915,Coma Berenices,,,,,,,,,,
IC1096,,,,,G,Galaxy,15,8.366666667,+,19,11.52666667,Boötes,0.56,0.38,76,15.6,,13.13,12.55,12.2,23.21,
,,NGC1759,,,G,Galaxy,5,0.8166666667,+,38,40.43333333,Caelum,1.95,1.48,148,14.11,,11.37,10.6,10.5,24.38,
IC823,,,,,*,Star,12,47.85,+,27,12.55,Coma Berenices,,,,,,,,,,"The IC identification is not sure, but IC 0823 is certainly not NGC 4692."
IC1097,,,,,G,Galaxy,15,8.516666667,+,19,11.06,Boötes,0.91,0.42,55,14.7,,12.44,11.66,11.63,23.25,
,,NGC1761,,,*Ass,Association of stars,4,56.63333333,+,66,28.73333333,Dorado,4.2,3,110,,9.94,,,,,In the Large Magellanic Cloud.
IC830,,,,,G,Galaxy,12,51.28333333,+,53,41.77833333,Ursa Major,1.16,0.6,164,14.3,,11.19,10.54,10.2,23.11,
IC1098,,,,,*,Star,15,6.416666667,+,55,36.1,Draco,,,,,,,,,,
,,NGC1764,,,OCl,Open Cluster,4,56.46666667,+,67,41.63333333,Dorado,1.1,1.1,,12.92,12.58,,,,,In the Large Magellanic Cloud.
IC832,,,,,G,Galaxy,12,53.98333333,+,26,26.64333333,Coma Berenices,0.78,0.74,2,15,,11.7,11.05,10.87,23.26,
IC1101,,,,,G,Galaxy,15,10.93333333,+,5,44.68666667,Serpens Caput,1.2,0.6,25,15.1,,11.17,10.43,10.11,24.42,
,,NGC1766,,,OCl,Open Cluster,4,55.96666667,+,70,13.5,Mensa,1,0.9,30,12.33,12.22,,,,,In the Large Magellanic Cloud.
IC833,,,,,G,Galaxy,12,56.63333333,+,6,44,Virgo,0.43,0.34,138,16.51,,12.92,12.15,12.14,23.59,
IC1102,,,,,G,Galaxy,15,11.08333333,+,4,17.63166667,Serpens Caput,1.04,0.58,18,14.83,,11.89,11.35,11.09,23.48,
,,NGC1770,,,Cl+N,Star cluster + Nebula,4,57.26666667,+,68,25.08333333,Dorado,4.1,4.1,,,,,,,,Nebulosity involved.
IC834,,,,,G,Galaxy,12,56.31666667,+,26,21.535,Coma Berenices,0.91,0.54,96,15.2,,11.61,10.93,10.66,23.64,
IC1103,,,,,G,Galaxy,15,11.6,+,19,12.46666667,Serpens Caput,0.91,0.5,178,15.81,,12.04,11.47,11.21,24.34,
,,NGC1772,,,OCl,Open Cluster,4,56.88333333,+,69,33.36666667,Dorado,1.5,1.4,30,11.22,10.97,,,,,In the Large Magellanic Cloud.
IC836,,,,,G,Galaxy,12,55.9,+,63,36.74,Draco,1.23,0.24,74,14.6,,11.3,10.55,10.18,22.84,Multiple SDSS entries describe this object.
IC1106,,,,,G,Galaxy,15,13.93333333,+,4,42.65833333,Serpens Caput,0.91,0.43,34,15.2,,12.07,11.44,11.15,23.21,
,,NGC1773,,,Neb,Nebula,4,58.2,+,66,21.6,Dorado,2.7,2.1,30,,,,,,,The 2MASS position refers to a knot southwest of the center.
IC838,,,,,G,Galaxy,12,58.23333333,+,26,25.61333333,Coma Berenices,0.67,0.6,4,14.9,,13.18,12.56,12.34,23.37,
IC1113,,,,,G,Galaxy,15,18.25,+,12,29.32,Serpens Caput,0.87,0.77,17,15.2,,13.02,12.43,12.22,23.61,
,,NGC1774,,,OCl,Open Cluster,4,58.11666667,+,67,14.53333333,Dorado,1.7,1.5,60,10.96,10.76,,,,,In the Large Magellanic Cloud.
IC841,,,,,G,Galaxy,12,59.78333333,+,21,48.79333333,Coma Berenices,0.96,0.55,130,15.4,,11.81,11.04,10.73,23.4,
IC1114,,,,,*,Star,15,11.43333333,+,75,25.60166667,Ursa Minor,,,,,,,,,,The IC identification is not certain.
,,NGC1775,,,OCl,Open Cluster,4,56.91666667,+,70,25.91666667,Mensa,1,0.9,80,12.9,12.55,,,,,In the Large Magellanic Cloud.
IC850,,,,,G,Galaxy,13,7.833333333,+,0,52.1,Virgo,0.95,0.26,68,15.5,,12.6,11.81,11.45,22.77,
IC1115,,,,,**,Double star,15,22.31666667,+,4,28.43333333,Libra,,,,,,,,,,
,,NGC1780,,,G,Galaxy,5,6.35,+,19,28,Lepus,0.92,0.53,86,14.73,,11.65,10.98,10.69,23.28,Missing ESO entry '552- G 71' would have pointed to this galaxy.
IC856,,,,,G,Galaxy,13,10.7,+,20,32.20666667,Coma Berenices,0.73,0.21,64,15.2,,12.15,11.38,11.03,22.99,
IC1119 NED01,,,,,G,Galaxy,15,25.73333333,+,3,39.23333333,Libra,0.52,0.33,179,16.5,,,,,23.84,
,,NGC1781,,,G,Galaxy,5,7.916666667,+,18,11.4,Lepus,1.27,1.1,76,13.71,,10.53,9.81,9.49,23.01,
IC861,,,,,G,Galaxy,13,15.11666667,+,34,19.72666667,Canes Venatici,0.84,0.58,76,15.6,,11.54,10.84,10.58,23.83,
IC1119 NED02,,,,,G,Galaxy,15,25.75,+,3,39.48333333,Libra,0.62,0.43,17,15.3,,,,,22.71,
,,NGC1782,,,OCl,Open Cluster,4,57.85,+,69,23.53333333,Dorado,1.2,1.1,110,10.75,10.5,,,,,In the Large Magellanic Cloud.
IC864,,,,,G,Galaxy,13,17.13333333,+,20,41.50333333,Coma Berenices,0.58,0.27,23,16.99,,13.08,12.2,11.96,23.03,
IC1120,,,,,GPair,Galaxy Pair,15,26.18333333,+,18,52.3,Serpens Caput,0.8,,,,,,,,,Is the superposed star a compact galaxy?
,,NGC1783,,,GCl,Globular Cluster,4,59.15,+,65,59.23333333,Dorado,5.3,4.7,60,10.9,10.93,,,,,In the Large Magellanic Cloud.
IC867,,,,,G,Galaxy,13,17.33333333,+,20,38.285,Coma Berenices,1.27,0.9,18,15.5,,12.08,11.33,11.1,23.83,
IC1120 NED01,,,,,G,Galaxy,15,26.18333333,+,18,52.24666667,Serpens Caput,,,,,,,,,,
,,NGC1786,,,GCl,Globular Cluster,4,59.13333333,+,67,44.71666667,Dorado,2,2,,10.1,,,,,,In the Large Magellanic Cloud.
IC868,,,,,G,Galaxy,13,17.48333333,+,20,36.74,Coma Berenices,0.79,0.74,9,15.4,,11.68,11.03,10.73,23.14,
IC1120 NED02,,,,,G,Galaxy,15,26.18333333,+,18,52.34,Serpens Caput,0.67,0.29,32,16.23,,,,,23.25,
,,NGC1787,,,OCl,Open Cluster,5,1.733333333,+,65,49.4,Dorado,24,14,140,11.09,10.92,,,,,In the Large Magellanic Cloud.
IC869 NED02,,,,,G,Galaxy,13,17.53333333,+,20,40.655,Coma Berenices,0.33,0.29,80,16.58,,13.5,12.84,12.47,23.28,
IC1121,,,,,G,Galaxy,15,27.73333333,+,6,48.23333333,Serpens Caput,1.05,0.82,54,15.6,,11.56,10.81,10.51,24.39,
,,NGC1788,,,RfN,Reflection Nebula,5,6.883333333,+,3,20.46666667,Orion,2,2,,5.8,,,,,,"Identified as IR cirrus by Strauss, et al (1992, ApJS, 83, 29)."
IC870,,,,,G,Galaxy,13,17.51666667,+,20,36.00666667,Coma Berenices,0.79,0.48,45,15.4,,12.15,11.48,11.14,23.05,
IC1124,,,,,G,Galaxy,15,30.01666667,+,23,38.305,Serpens Caput,1.1,0.42,77,14.5,,11.52,10.82,10.51,22.82,
,,NGC1789,,,GCl,Globular Cluster,4,57.86666667,+,71,54.11666667,Mensa,1.8,1.8,,13.56,13.06,,,,,In the Large Magellanic Cloud.
IC877,,,,,Other,,13,17.95,+,6,4.923333333,Virgo,,,,,,,,,,Nothing here; nominal position.
IC1125,IC1128,,,,G,Galaxy,15,33.1,+,1,37.7,Serpens Caput,1.61,0.86,153,13.8,,11.67,10.99,10.63,23.49,"Noted possibly interacting in MCG/UGC, coalescent pair in VV. Star superposed."
,,NGC1790,,,OCl,Open Cluster,5,10.93333333,+,52,3.588333333,Auriga,,,,,,,,,,
IC881,,,,,G,Galaxy,13,19.93333333,+,15,51.03166667,Coma Berenices,1.53,0.35,12,14.8,,11.26,10.6,10.3,23.62,
IC1126,,,,,*,Star,15,35.01666667,+,4,59.425,Serpens Caput,,,,,,,,,,
,,NGC1791,,,OCl,Open Cluster,4,59.1,+,70,10.13333333,Mensa,1.2,1,30,13.45,13.12,,,,,In the Large Magellanic Cloud.
IC886,,,,,G,Galaxy,13,23.95,+,4,23.73333333,Virgo,0.66,0.54,58,15.64,,12.37,11.63,11.39,23.82,
IC1129,,,,,G,Galaxy,15,32.01666667,+,68,14.78,Ursa Minor,1.01,0.86,3,13.7,,12.26,11.53,11.68,22.35,
,,NGC1792,,,G,Galaxy,5,5.233333333,+,37,58.85,Columba,5.52,2.76,136,10.68,10.18,7.93,7.28,7.01,22.68,
IC888,,,,,Dup,Galaxy,13,24.85,+,13,44.27166667,Virgo,,,,,,,,,,
IC1130,,,,,G,Galaxy,15,37.73333333,+,17,14.665,Serpens Caput,0.74,0.52,37,15.5,,12.95,12.43,12.3,23.38,
,,NGC1796A,,,G,Galaxy,5,5.05,+,61,29.06666667,Dorado,1.28,0.5,151,14.87,,11.82,11.18,10.85,23.61,Declinations for NGC 1796A and NGC 1796B interchanged in RC1 and RC2.
IC891,,,,,G,Galaxy,13,30,+,0,18.30666667,Virgo,0.78,0.73,30,14.7,,11.52,10.8,10.67,23.04,One APM position is east of the nucleus.
IC1131,,,,,G,Galaxy,15,38.86666667,+,12,4.838333333,Serpens Caput,0.85,0.65,153,14.8,,11.9,11.28,11.06,23.2,HOLM 717B is a star.
,,NGC1796B,,,G,Galaxy,5,7.916666667,+,61,11.46666667,Dorado,1.12,0.25,25,15.76,,11.96,11.2,10.93,23.65,Declinations for NGC 1796A and NGC 1796B interchanged in RC1 and RC2.
IC894,,,,,G,Galaxy,13,32.08333333,+,17,2.938333333,Coma Berenices,1.14,0.5,79,17.07,16.37,11.58,10.91,10.65,23.78,
IC1137,,,,,G,Galaxy,15,48.55,+,8,35.275,Serpens Caput,0.86,0.79,115,14.72,,11.94,11.35,11.08,23.09,
,,NGC1798,,,OCl,Open Cluster,5,11.65,+,47,41.73,Auriga,5.4,,,,,,,,,
IC900,,,,,G,Galaxy,13,34.71666667,+,9,20.21166667,Virgo,1.28,0.85,29,14.3,,11.5,10.86,10.43,22.69,
IC1142,,,,,G,Galaxy,15,50.43333333,+,18,8.375,Serpens Caput,1.03,0.77,160,15.1,,12.21,11.41,11.07,23.52,
,,NGC1802,,,OCl,Open Cluster,5,10.21666667,+,24,7.508333333,Taurus,4.8,,,,,,,,,
IC902,,,,,G,Galaxy,13,36.01666667,+,49,57.65,Ursa Major,2.18,0.55,162,14.7,,11.44,10.6,10.42,23.98,
IC1143,,,,,G,Galaxy,15,30.93333333,+,82,27.34666667,Ursa Minor,1.45,1.38,150,14.7,,10.46,9.8,9.51,24.31,
,,NGC1804,,,OCl,Open Cluster,5,1.05,+,69,4.95,Dorado,0.95,0.85,170,12.02,11.87,,,,,In the Large Magellanic Cloud.
IC907,,,,,G,Galaxy,13,39.38333333,+,51,3.063333333,Ursa Major,1.11,0.21,20,15.3,,11.91,11.15,10.9,23.16,
IC1144,,,,,G,Galaxy,15,51.36666667,+,43,25.06,Hercules,0.74,0.52,107,14.4,,11.71,10.97,10.66,22.79,
,,NGC1809,,,G,Galaxy,5,2.083333333,+,69,34.1,Dorado,3.74,1.44,143,12.1,,10.28,9.63,9.35,24.02,
IC908,,,,,G,Galaxy,13,41.31666667,+,4,20.65,Virgo,0.9,0.55,82,14.67,,12.9,12.26,,22.58,
IC1149,,,,,G,Galaxy,15,58.13333333,+,12,4.216666667,Serpens Caput,1.07,0.85,164,14.1,,11.59,10.86,10.56,22.86,
,,NGC1816,,,OCl,Open Cluster,5,3.85,+,67,15.65,Dorado,0.9,0.75,0,,13.02,,,,,In the Large Magellanic Cloud.
IC909,,,,,G,Galaxy,13,40.85,+,24,28.39666667,Boötes,0.73,0.67,2,14.9,,12.03,11.26,11.08,22.85,
IC1157,,,,,G,Galaxy,16,0.9333333333,+,15,31.58666667,Serpens Caput,0.82,0.41,135,15.7,,12.71,12.03,11.79,23.53,
,,NGC1817,,,OCl,Open Cluster,5,12.43333333,+,16,41.045,Taurus,9.3,,,8.44,7.7,,,,,
IC917,,,,,*,Star,13,42.51666667,+,55,38.215,Ursa Major,,,,,,,,,,Identification as IC 0917 is not certain.
IC1159,,,,,G,Galaxy,16,1.016666667,+,15,25.19833333,Serpens Caput,0.76,0.52,30,15.66,,12.69,11.94,11.59,23.69,
,,NGC1818,,,GCl,Globular Cluster,5,4.25,+,66,26.06666667,Dorado,3.1,2.7,130,9.7,,,,,,In the Large Magellanic Cloud.
IC918,,,,,G,Galaxy,13,42.63333333,+,55,31.77333333,Ursa Major,0.63,0.23,102,17.97,,,,,23.8,May contribute to the IR source IRAS F13407+5547.
IC1160,,,,,G,Galaxy,16,1.05,+,15,29.68166667,Serpens Caput,0.77,0.49,143,15.7,,12.67,12.02,11.97,23.61,
,,NGC1825,,,OCl,Open Cluster,5,4.316666667,+,68,55.58333333,Dorado,1,0.9,40,12.45,12.04,,,,,In the Large Magellanic Cloud.
IC919,,,,,G,Galaxy,13,42.8,+,55,31.28333333,Ursa Major,0.54,0.32,25,15.6,,12.52,11.8,11.49,23,Identification as IC 0919 is not certain.
IC1163,,,,,G,Galaxy,16,1.516666667,+,15,30.235,Serpens Caput,0.79,0.73,11,15.3,,11.91,11.27,10.86,23.3,
,,NGC1830,,,OCl,Open Cluster,5,4.633333333,+,69,20.41666667,Dorado,1.3,1.2,60,12.75,12.56,,,,,In the Large Magellanic Cloud.
IC922,,,,,G,Galaxy,13,42.93333333,+,55,36.23333333,Ursa Major,0.78,0.47,120,18.05,,,,,24.12,Identification as IC 0922 is not certain.
IC1165,,,,,GPair,Galaxy Pair,16,2.133333333,+,15,41.63333333,Serpens Caput,0.9,,,,,,,,,VV misprints dec as +15d54'.
,,NGC1831,,,GCl,Globular Cluster,5,6.283333333,+,64,55.05,Dorado,3.8,3.2,170,11.52,11.18,,,,,In the Large Magellanic Cloud.
IC923,,,,,G,Galaxy,13,43.23333333,+,55,36.18833333,Ursa Major,0.56,0.5,101,16.37,,,,,24,Identification as IC 0923 is not certain.
IC1165 NED01,,,,,G,Galaxy,16,2.133333333,+,15,41.79333333,Serpens Caput,0.69,0.64,41,14.6,,11.49,10.73,10.51,23.04,
,,NGC1835,,,GCl,Globular Cluster,5,5.116666667,+,69,24.23333333,Dorado,2.3,2,80,11.31,10.6,,,,,In the Large Magellanic Cloud.
IC927,,,,,G,Galaxy,13,45.86666667,+,12,27.86666667,Virgo,0.87,0.74,75,15.27,,,,,23.55,
IC1166,,,,,GPair,Galaxy Pair,16,2.15,+,26,19.63333333,Corona Borealis,0.6,,,,,,,,,
,,NGC1846,,,GCl,Globular Cluster,5,7.566666667,+,67,27.68333333,Dorado,3.8,3.8,,12.08,11.31,,,,,In the Large Magellanic Cloud.
IC929,,,,,G,Galaxy,13,43.75,+,55,38.02666667,Ursa Major,0.46,0.37,81,17.83,,,,,23.56,Identification as IC 0929 is not certain.
IC1173,,,,,G,Galaxy,16,5.216666667,+,17,25.37166667,Hercules,0.92,0.45,63,15.6,,12.35,11.74,11.54,23.34,
,,NGC1847,,,OCl,Open Cluster,5,7.133333333,+,68,58.28333333,Dorado,1.8,1.6,0,12.51,12.47,,,,,In the Large Magellanic Cloud.
IC931,,,,,G,Galaxy,13,43.81666667,+,55,37.43833333,Ursa Major,0.25,0.19,61,,,,,,23.11,Identification as IC 0931 is not certain.
IC1176,,,,,Dup,Galaxy,16,5.516666667,+,17,57.81833333,Hercules,,,,,,,,,,
,,NGC1849,,,OCl,Open Cluster,5,9.583333333,+,66,18.95,Dorado,1.5,1.5,,13.08,12.77,,,,,In the Large Magellanic Cloud.
IC932,,,,,G,Galaxy,13,43.85,+,55,38.805,Ursa Major,0.47,0.23,64,18.13,,,,,24.32,Identification as IC 0932 is not certain.
IC1177,,,,,G,Galaxy,16,5.333333333,+,18,18.92166667,Hercules,0.54,0.41,164,16.23,,,,,23.51,
,,NGC1850,,,GCl,Globular Cluster,5,8.75,+,68,45.7,Dorado,3,3,,8.84,8.96,,,,,Globular cluster in the Large Magellanic Cloud.
IC934,IC935,,,,G,Galaxy,13,43.86666667,+,55,39.40833333,Ursa Major,0.36,0.28,174,17.38,,,,,23.7,Identification as IC 0934 is not certain.
IC1178,,,,,G,Galaxy,16,5.55,+,17,36.08666667,Hercules,1.34,0.66,145,15,,11.41,10.68,10.43,24.34,
,,NGC1858,,,Cl+N,Star cluster + Nebula,5,9.866666667,+,68,53.48333333,Dorado,4.4,2.6,170,9.76,9.88,,,,,Open cluster involved.  In the Large Magellanic Cloud.
IC935,IC934,,,,Dup,Galaxy,13,43.86666667,+,55,39.40833333,Ursa Major,,,,,,,,,,
